# Gap

      120     atoms
      1     atom types

    0   15.893012 xlo xhi
    0   9.159196 ylo yhi
    0   22.000000 zlo zhi

Masses

         1          12.01

Atoms

1 1  2.264361 2.687533 7.063786 0 0 0
2 1  10.210867 6.471663 7.063786 0 0 0
3 1  0.818876 2.687726 7.063059 0 0 0
4 1  8.765383 6.471470 7.063059 0 0 0
5 1  0.129341 3.766619 7.636537 0 0 0
6 1  8.075847 5.392577 7.636537 0 0 0
7 1  0.374850 1.330700 7.319327 0 0 0
8 1  8.321356 7.828496 7.319327 0 0 0
9 1  15.152014 1.098886 8.138808 0 0 0
10 1  7.205508 8.060311 8.138808 0 0 0
11 1  14.443085 2.222990 8.706166 0 0 0
12 1  6.496579 6.936206 8.706166 0 0 0
13 1  14.874385 3.525491 8.466385 0 0 0
14 1  6.927880 5.633705 8.466385 0 0 0
15 1  14.896249 4.497663 9.555452 0 0 0
16 1  6.949744 4.661533 9.555452 0 0 0
17 1  0.096265 5.324113 9.418527 0 0 0
18 1  8.042772 3.835083 9.418527 0 0 0
19 1  0.847929 4.879705 8.239335 0 0 0
20 1  8.794433 4.279491 8.239335 0 0 0
21 1  2.234034 4.879525 8.239271 0 0 0
22 1  10.180540 4.279671 8.239271 0 0 0
23 1  2.953273 3.766829 7.636994 0 0 0
24 1  10.899779 5.392368 7.636994 0 0 0
25 1  4.101192 3.526268 8.467227 0 0 0
26 1  12.047698 5.632928 8.467227 0 0 0
27 1  4.078916 4.498926 9.555879 0 0 0
28 1  12.025423 4.660271 9.555879 0 0 0
29 1  2.985220 5.324756 9.418583 0 0 0
30 1  10.931726 3.834440 9.418583 0 0 0
31 1  2.345745 6.065780 10.551166 0 0 0
32 1  10.292251 3.093416 10.551166 0 0 0
33 1  0.734849 6.065447 10.551185 0 0 0
34 1  8.681355 3.093749 10.551185 0 0 0
35 1  0.354327 5.369907 11.853062 0 0 0
36 1  8.300833 3.789289 11.853062 0 0 0
37 1  1.539997 5.090949 12.628320 0 0 0
38 1  9.486502 4.068247 12.628320 0 0 0
39 1  2.725872 5.369805 11.853214 0 0 0
40 1  10.672377 3.789391 11.853214 0 0 0
41 1  1.540284 4.078566 13.603690 0 0 0
42 1  9.486790 5.080630 13.603690 0 0 0
43 1  0.374456 3.245163 13.766861 0 0 0
44 1  8.320963 5.914033 13.766861 0 0 0
45 1  15.152239 3.476124 12.946180 0 0 0
46 1  7.205733 5.683072 12.946180 0 0 0
47 1  15.126521 4.575961 12.010218 0 0 0
48 1  7.180015 4.583235 12.010218 0 0 0
49 1  14.180637 4.227806 10.851634 0 0 0
50 1  6.234131 4.931390 10.851634 0 0 0
51 1  13.985288 2.731097 11.057982 0 0 0
52 1  6.038782 6.428099 11.057982 0 0 0
53 1  14.442891 2.352096 12.380709 0 0 0
54 1  6.496385 6.807100 12.380709 0 0 0
55 1  14.874586 1.049705 12.620797 0 0 0
56 1  6.928080 8.109492 12.620797 0 0 0
57 1  14.896424 0.077199 11.531964 0 0 0
58 1  6.949918 9.081997 11.531964 0 0 0
59 1  14.181487 0.348673 10.235345 0 0 0
60 1  6.234981 8.810523 10.235345 0 0 0
61 1  15.126426 9.158484 9.075870 0 0 0
62 1  7.179920 0.000712 9.075870 0 0 0
63 1  0.354692 8.364857 9.233815 0 0 0
64 1  8.301198 0.794339 9.233815 0 0 0
65 1  0.735204 7.669826 10.536549 0 0 0
66 1  8.681710 1.489370 10.536549 0 0 0
67 1  0.096584 8.410631 11.669009 0 0 0
68 1  8.043090 0.748565 11.669009 0 0 0
69 1  0.848153 8.855910 12.847966 0 0 0
70 1  8.794657 0.303285 12.847966 0 0 0
71 1  0.129495 0.809231 13.450563 0 0 0
72 1  8.076001 8.349965 13.450563 0 0 0
73 1  2.234226 8.856349 12.848089 0 0 0
74 1  10.180732 0.302848 12.848089 0 0 0
75 1  2.953701 0.809811 13.450727 0 0 0
76 1  10.900206 8.349384 13.450727 0 0 0
77 1  4.101634 1.050263 12.620593 0 0 0
78 1  12.048139 8.108933 12.620593 0 0 0
79 1  4.078701 0.077741 11.531814 0 0 0
80 1  12.025207 9.081455 11.531814 0 0 0
81 1  2.984974 8.411651 11.669133 0 0 0
82 1  10.931479 0.747546 11.669133 0 0 0
83 1  2.345906 7.669866 10.536874 0 0 0
84 1  10.292412 1.489330 10.536874 0 0 0
85 1  2.726342 8.364983 9.234371 0 0 0
86 1  10.672848 0.794213 9.234371 0 0 0
87 1  1.540613 8.643768 8.458555 0 0 0
88 1  9.487119 0.515429 8.458555 0 0 0
89 1  1.540752 0.497293 7.482837 0 0 0
90 1  9.487258 8.661904 7.482837 0 0 0
91 1  2.707187 1.330299 7.320436 0 0 0
92 1  10.653693 7.828897 7.320436 0 0 0
93 1  3.822442 1.099104 8.140728 0 0 0
94 1  11.768948 8.060092 8.140728 0 0 0
95 1  3.848119 9.158496 9.077013 0 0 0
96 1  11.794625 0.000701 9.077013 0 0 0
97 1  4.793539 0.349183 10.235725 0 0 0
98 1  12.740045 8.810014 10.235725 0 0 0
99 1  4.531979 2.223459 8.706681 0 0 0
100 1  12.478485 6.935737 8.706681 0 0 0
101 1  4.987688 1.845662 10.029624 0 0 0
102 1  12.934193 7.313534 10.029624 0 0 0
